Holiday/Festival,Processed_Month,Processed_Day,Holiday_Type,Season_Flag
Songkran Festival (Thai New Year),4.0,13.0,Thai Festival,High Season
Makha Bucha,2.0,,Thai Festival,Shoulder Season
Visakha Bucha,5.0,,Thai Festival,Shoulder Season
Asahna Bucha,7.0,,Thai Festival,Shoulder Season
New Year's Day,1.0,1.0,Thai National,High Season
Chakri Memorial Day,4.0,6.0,Thai National,Shoulder Season
Labor Day,5.0,1.0,Thai National,Shoulder Season
H.M. King's Birthday,7.0,28.0,Thai National,Shoulder Season
H.M. Queen Mother's Birthday,8.0,12.0,Thai National,Shoulder Season
H.M. King Bhumibol Memorial Day,10.0,13.0,Thai National,Shoulder Season
Chulalongkorn Day,10.0,23.0,Thai National,Shoulder Season
H.M. King Bhumibol's Birthday/National Day/Father's Day,12.0,5.0,Thai National,High Season
Constitution Day,12.0,10.0,Thai National,High Season
Loy Krathong,11.0,,Thai Festival,Low Season
Chinese New Year,1.0,,Thai Festival,High Season
Christmas,12.0,25.0,International,High Season
New Year's Eve/Day,12.0,31.0,International,High Season
Golden Week (China),10.0,,International,High Season
Chinese New Year (International),1.0,,International,High Season
Easter Holiday,3.0,,International,High Season
School Holidays in Asia,,,International,High Season
European Summer Vacation,7.0,,International,High Season
Australian Winter Holidays,6.0,,International,High Season
High Season,11.0,,General Season,High Season
Shoulder Season,7.0,,General Season,Shoulder Season
Low Season,4.0,,General Season,Low Season
