last_review_month,price,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
9,1878.0,True,False,False,False
2,1537.0,False,False,True,False
11,1650.0,False,False,True,False
3,1536.0,False,True,False,False
1,5601.0,True,False,False,False
7,1200.0,False,False,True,False
11,1090.0,True,False,False,False
3,1050.0,True,False,False,False
8,888.0,True,False,False,False
10,2220.0,True,False,False,False
10,1366.0,True,False,False,False
12,1140.0,True,False,False,False
4,1810.0,True,False,False,False
12,1049.0,True,False,False,False
11,1205.0,True,False,False,False
12,1421.0,False,False,True,False
9,3688.0,True,False,False,False
12,1140.0,True,False,False,False
3,854.0,True,False,False,False
10,800.0,True,False,False,False
11,750.0,True,False,False,False
4,850.0,True,False,False,False
12,850.0,True,False,False,False
6,1241.0,True,False,False,False
2,1472.0,False,False,True,False
11,850.0,True,False,False,False
4,700.0,True,False,False,False
12,817.0,True,False,False,False
12,1075.0,True,False,False,False
10,1140.0,True,False,False,False
12,1075.0,True,False,False,False
9,1500.0,True,False,False,False
11,891.0,True,False,False,False
6,990.0,True,False,False,False
12,1537.0,True,False,False,False
12,1708.0,True,False,False,False
9,2500.0,True,False,False,False
4,12000.0,True,False,False,False
12,720.0,True,False,False,False
12,1050.0,True,False,False,False
1,700.0,True,False,False,False
11,1500.0,True,False,False,False
9,1400.0,True,False,False,False
1,2500.0,True,False,False,False
12,7225.0,True,False,False,False
11,1168.0,True,False,False,False
10,1600.0,True,False,False,False
4,922.0,True,False,False,False
11,2220.0,True,False,False,False
3,2200.0,False,False,True,False
1,1912.0,False,False,True,False
8,2391.0,False,False,True,False
11,1400.0,True,False,False,False
11,1776.0,True,False,False,False
12,2076.0,True,False,False,False
12,956.0,True,False,False,False
11,1472.0,False,False,True,False
10,2000.0,False,False,True,False
7,2140.0,False,False,True,False
12,3600.0,True,False,False,False
9,970.0,True,False,False,False
12,999.0,True,False,False,False
11,1300.0,True,False,False,False
1,3005.0,True,False,False,False
12,1063.0,True,False,False,False
1,5806.0,True,False,False,False
12,4357.0,True,False,False,False
6,1000.0,True,False,False,False
1,1073.0,False,False,True,False
10,3586.0,True,False,False,False
12,744.0,True,False,False,False
10,5310.0,True,False,False,False
12,1673.0,True,False,False,False
12,1001.0,True,False,False,False
11,921.0,True,False,False,False
10,888.0,True,False,False,False
11,990.0,True,False,False,False
12,2873.0,True,False,False,False
12,3000.0,True,False,False,False
7,850.0,False,False,True,False
9,700.0,False,False,True,False
12,1747.0,True,False,False,False
11,2250.0,True,False,False,False
8,3025.0,True,False,False,False
2,1268.0,True,False,False,False
11,1850.0,True,False,False,False
1,1049.0,False,False,True,False
12,1033.0,True,False,False,False
12,2356.0,True,False,False,False
12,2758.0,True,False,False,False
11,3314.0,True,False,False,False
12,1760.0,True,False,False,False
2,9999.0,True,False,False,False
11,1500.0,False,False,True,False
11,2900.0,False,False,True,False
10,800.0,True,False,False,False
3,1325.0,False,False,True,False
6,1325.0,False,False,True,False
2,2000.0,False,False,True,False
2,1298.0,True,False,False,False
12,1140.0,True,False,False,False
1,1650.0,True,False,False,False
3,1950.0,True,False,False,False
1,1950.0,True,False,False,False
1,3000.0,True,False,False,False
11,945.0,True,False,False,False
8,1000.0,True,False,False,False
12,1850.0,True,False,False,False
2,4360.0,True,False,False,False
9,2049.0,True,False,False,False
11,1400.0,False,True,False,False
12,1000.0,True,False,False,False
12,1400.0,True,False,False,False
6,1820.0,True,False,False,False
12,5066.0,True,False,False,False
3,1537.0,True,False,False,False
12,3005.0,True,False,False,False
11,1325.0,True,False,False,False
12,1571.0,True,False,False,False
10,2157.0,True,False,False,False
2,380.0,False,False,False,True
9,1700.0,True,False,False,False
12,893.0,True,False,False,False
4,2199.0,True,False,False,False
9,1290.0,False,False,True,False
11,3357.0,True,False,False,False
9,2061.0,False,False,True,False
1,2061.0,False,False,True,False
3,937.0,True,False,False,False
1,1300.0,False,False,True,False
12,2308.0,True,False,False,False
12,1366.0,True,False,False,False
11,5464.0,True,False,False,False
11,2393.0,True,False,False,False
12,1046.0,True,False,False,False
12,5415.0,True,False,False,False
1,1039.0,True,False,False,False
8,1099.0,True,False,False,False
12,1654.0,True,False,False,False
12,1129.0,True,False,False,False
12,1206.0,True,False,False,False
12,880.0,True,False,False,False
10,620.0,True,False,False,False
3,799.0,True,False,False,False
12,2400.0,True,False,False,False
8,1690.0,True,False,False,False
7,1264.0,True,False,False,False
10,1317.0,True,False,False,False
8,4000.0,False,False,True,False
12,880.0,True,False,False,False
12,2214.0,True,False,False,False
7,1000.0,True,False,False,False
10,1619.0,False,False,True,False
12,4459.0,True,False,False,False
4,2943.0,False,False,True,False
8,400.0,False,False,False,True
